source,judge,advocate,ruling_title,chamber,ruling_name,ruling_type,ruling_content,case_label,ecli,lodge_date,document_date,country,main_subject
62013CO0050,Ó Caoimh,Kokott,Order of the Court (Eighth Chamber) of 12 December 2013,Eighth Chamber,Rocco Papalia v Comune di Aosta,Request for a preliminary ruling from the Tribunale ordinario di Aosta,Request for a preliminary ruling — Article 99 of the Rules of Procedure of the Court — Social policy — Directive 1999/70/EC — Clause 5 of the Framework Agreement on fixed-term work — Public sector — Successive contracts — Misuse — Compensation for damage — Conditions for the payment of compensation in the event of the unlawful fixing of a date on which a contract of employment will expire — Principles of equivalence and effectiveness,Case C‑50/13,ECLI identifier: ECLI:EU:C:2013:873,30/01/2013,12/12/2013,Italy,SOPO
62013CO0257,Ó Caoimh,Wahl,Order of the Court (Eighth Chamber) of 14 November 2013,Eighth Chamber,  Anouthani Mlamali v Caisse d'allocations familiales des Bouches-du-Rhône,  Reference for a preliminary ruling: Tribunal des affaires de sécurité sociale des Bouches-du-Rhône - France,  Request for a preliminary ruling - Article 94 of the Rules of Procedure of the Court - Absence of sufficient information concerning the factual and regulatory background to the dispute in the main proceedings and the reasons justifying the need for an answer to the question referred for a preliminary ruling - Manifest inadmissibility,  Case C-257/13,ECLI identifier: ECLI:EU:C:2013:763,13/05/2013,14/11/2013,France,SOPO
62011CO0393,Ó Caoimh,Wahl,Order of the Court (Eighth Chamber) of 7 March 2013,Eighth Chamber,  Autorità per l'energia elettrica e il gas v Antonella Bertazzi and Others,  Reference for a preliminary ruling: Consiglio di Stato - Italy,  Article 99 of the Rules of Procedure of the Court of Justice - Social policy - Directive 1999/70/EC -Framework agreement on fixed-term work concluded by ETUC; UNICE and CEEP - Clause 4 - Fixed-term employment contracts in the public sector - Stabilisation procedure -Recruitment of workers employed for a fixed term as career civil servants without a public competition - Determination of length of service - Complete disregard of periods of service completed under fixed-term employment contracts - Principle of non-discrimination,  Case C-393/11,ECLI identifier: ECLI:EU:C:2013:143,25/07/2011,7/3/2013,Italy,SOPO
62012CO0178,Ó Caoimh,Wahl,Order of the Court (Eighth Chamber) of 7 March 2013,Eighth Chamber,Rafaela Rivas Montes v Instituto Municipal de Deportes de Córdoba (IMDECO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑178/12,ECLI identifier: ECLI:EU:C:2013:150,17/04/2012,7/3/2013,Spain,SOPO
62011CO0556,Ó Caoimh,Sharpston,Order of the Court (Sixth Chamber) of 9 February 2012,Sixth Chamber,  María Jesús Lorenzo Martínez v Junta de Castilla y León; Dirección General de Recursos Humanos de la Consejería de Educación,  Reference for a preliminary ruling: Juzgado de lo Contencioso-Administrativo nº 4 de Valladolid - Spain,  First subparagraph of Article 104(3) of the Rules of Procedure - Social policy - Directive 1999/70/EC - Clause 4(1) of the framework agreement on fixed-term work concluded by ETUC; UNICE and CEEP - Fixed-term employment contracts in the public sector - Non-university teaching - Right to six-yearly continuing professional education increments - Exclusion of teachers employed as temporary officials - Principle of non-discrimination,  Case C-556/11,ECLI identifier: ECLI:EU:C:2012:67,3/11/2011,9/2/2012,Spain,SOPO
62010CO0313,Ó Caoimh,Jääskinen,Order of the President of the Second Chamber of the Court of 25 October 2011,,Land Nordrhein-Westfalen v Sylvia Jansen,Reference for a preliminary ruling: Landesarbeitsgericht Köln - Germany,Removal from the register,Case C-313/10,ECLI identifier: ECLI:EU:C:2011:688,29/06/2010,25/10/2011,Germany,SOPO
62011CO0161,Ó Caoimh,Jääskinen,Order of the Court (Sixth Chamber) of 22 June 2011,Sixth Chamber,  Cosimo Damiano Vino v Poste Italiane SpA,  Reference for a preliminary ruling: Tribunale di Trani - Italy,  Articles 92(1); 103(1) and 104(3) of the Rules of Procedure - Social policy - Fixed-term employment contracts - Public sector - First or only contract - Derogation from the obligation to state objective reasons - Non-discrimination principle - Lack of connection to European Union law - Clear lack of jurisdiction of the Court,  Case C-161/11,ECLI identifier: ECLI:EU:C:2011:420,1/4/2011,22/06/2011,Italy,SOPO
62010CO0272,Ó Caoimh,Kokott,Order of the Court (Sixth Chamber) of 18 January 2011,Sixth Chamber,  Souzana Berkizi-Nikolakaki v Anotato Symvoulio epilogis prosopikou (ASEP) and Aristoteleio Panepistimio Thessalonikis,  Reference for a preliminary ruling: Dioikitiko Efeteio Thessalonikis - Greece,  Article 104(3) of the Rules of Procedure - Social policy - Article 155(2) TFEU - Directive 1999/70/EC - Clause 8 of the framework agreement on fixed-term work - Fixed-term employment contracts in the public sector - Successive contracts - Abuse - Penalties - Conversion into an employment contract of indefinite duration - Detailed procedural rules - Time-limit - Principles of equivalence and effectiveness - Reduction in the general level of protection afforded to workers,  Case C-272/10,ECLI identifier: ECLI:EU:C:2011:19,31/05/2010,18/01/2011,Greece,SOPO
62010CO0273,Ó Caoimh,Sharpston,Order of the Court (Sixth Chamber) of 18 March 2011,Sixth Chamber,David Montoya Medina v Fondo de Garantía Salarial and Universidad de Alicante,Reference for a preliminary ruling: Tribunal Superior de Justicia de la Comunidad Valenciana - Spain,Article 104(3) of the Rules of Procedure - Social policy - Directive 1999/70/EC - Clause 4 of the Framework Agreement on fixed-term work - Fixed-term employment contracts in the public sector - Entitlement to triennial seniority bonuses - Principle of non-discrimination,Case C-273/10,ECLI identifier: ECLI:EU:C:2011:167,1/6/2010,18/03/2011,Spain,SOPO
62010CO0258,Ó Caoimh,Mengozzi,Order of the Court (Sixth Chamber) of 4 March 2011,Sixth Chamber,  Nicuşor Grigore v Regia Naţională a Pădurilor Romsilva - Direcţia Silvică Bucureşti,  Reference for a preliminary ruling: Tribunalul Dâmboviţa - Romania,  First subparagraph of Article 104(3) of the Rules of Procedure - Social policy - Protection of the safety and health of workers - Directive 2003/88/EC - Organisation of working time - Notion of 'working time' - Notion of 'maximum weekly working time' - Forest ranger subject; under the terms of his employment contract and the applicable collective agreement; to flexible working time of 8 hours per day and 40 hours per week - National legislation holding him liable for any damage suffered in the section of forest under his control - Classification - Effect of overtime on the remuneration and financial compensation of the person concerned,  Case C-258/10,ECLI identifier: ECLI:EU:C:2011:122,25/05/2010,4/3/2011,Romania,SOPO
62010CO0020,Ó Caoimh,Jääskinen,Order of the President of the Sixth Chamber of the Court of 11 November 2010,,  Vino Cosimo Damiano v Poste Italiane SpA,  Reference for a preliminary ruling: Tribunale di Trani - Italy,  Article 104(3) of the Rules of Procedure - Social policy- Directive 1999/70/EC -Clauses 3 and 8 of the framework agreement on fixed-term work - Fixed-term employment contracts in the public sector - First or single use of a contract - Obligation to state the objective reasons - Elimination - Reduction in the general level of protection of employees - Principle of non-discrimination - Articles 82 EC and 86 EC,  Case C-20/10,ECLI identifier: ECLI:EU:C:2010:677,7/12/2009,11/11/2010,Italy,SOPO
62010CO0003,Ó Caoimh,Jääskinen,Order of the Court (Sixth Chamber) of 1 October 2010,Sixth Chamber,Franco Affatato v Azienda Sanitaria Provinciale di Cosenza,Reference for a preliminary ruling: Tribunale di Rossano - Italy,(Article 104(3) of the Rules of Procedure - Social policy - Directive 1999/70/EC - Clause 5 of the Framework Agreement on fixed-term work - Fixed-term employment contracts in the public sector - Successive contracts - Abuse - Preventive measures - Sanctions - Conversion of fixed-term contracts to a contract of unlimited duration - Prohibition - Compensation for damage - Principles of equivalence and effectiveness),Case C-3/10,ECLI identifier: ECLI:EU:C:2010:574,22/12/2009,1/10/2010,Italy,SOPO
62009CO0389,Ó Caoimh,Mengozzi,Order of the Court (Sixth Chamber) of 20 January 2010,Sixth Chamber,  Agueda María Saenz Morales v Consejería para la Igualdad y Bienestar Social,  Reference for a preliminary ruling: Juzgado de lo Contencioso-Administrativo nº 3 de Almería - Spain,  Preliminary references - Inadmissibility,  Case C-389/09,ECLI identifier: ECLI:EU:C:2010:22,2/10/2009,20/01/2010,Spain,SOPO
62008CO0162,Ó Caoimh,Mengozzi,Order of the Court (Sixth Chamber) of 23 November 2009,Sixth Chamber,Geórgios K,Check EUR-LEX webpage,Check EUR-LEX webpage,Joined cases C-162/08 to C-164/08,ECLI identifier: ECLI:EU:C:2009:727,17/04/2008,23/11/2009,Greece,SOPO
62008CO0519,Ó Caoimh,Kokott,Order of the Court (Seventh Chamber) of 24 April 2009,Seventh Chamber,Archontia Koukou v Elliniko Dimosio,Reference for a preliminary ruling: Monomeles Protodikeio Athinon - Greece,Article 104(3); first paragraph; of the Rules of Procedure - Social Policy - Directive 1999/70/EC - Clauses 5 and 8 of the Framework Agreement on fixed-term work - Public sector fixed-term employment contracts - Successive contracts - Reduction in the general level of protection of workers - Measures intended to prevent abuse - Penalties - Absolute prohibition on conversion of fixed-term employment contracts to contracts of indefinite duration in the public sector - Consequences of incorrect transposition of a directive - Interpretation in conformity with Community law,Case C-519/08,ECLI identifier: ECLI:EU:C:2009:269,27/11/2008,24/04/2009,Greece,SOPO
62007CO0364,Ó Caoimh,Kokott,Order of the Court (Third Chamber) of 12 June 2008,Third Chamber,  Spyridon Vassilakis and Others v Dimos Kerkyraion,  Reference for a preliminary ruling: Monomeles Protodikeio Kerkyras - Greece,  Article 104(3); first paragraph; of the Rules of Procedure - Social policy - Directive 1999/70/EC - Framework agreement on fixed-term work - Successive fixed-term employment contracts in the public sector - Concepts of ‘successive contracts’ and ‘objective reasons’ justifying the renewal of such contracts - Measures intended to prevent abuse - Sanctions - Settlement at national level of disputes and grievances - Scope of the obligation to interpret national law in conformity with Community law,  Case C-364/07,ECLI identifier: ECLI:EU:C:2008:346,2/8/2007,12/6/2008,Greece,SOPO
62005CO0093,Ó Caoimh,Kokott,Order of the Court (Sixth Chamber) of 13 July 2006,Sixth Chamber,  Teemu Hakala v Oy L,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-93/05,ECLI identifier: ECLI:EU:C:2006:470,22/02/2005,13/07/2006,Finland,SOPO
62006CO0057,Ó Caoimh,Sharpston,Order of the Court (Seventh Chamber) of 26 January 2007,Seventh Chamber,  Elisabetta Righini v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-57/06 P,ECLI identifier: ECLI:EU:C:2007:65,2/2/2006,26/01/2007,,STAT
62005CO0230,Ó Caoimh,Tizzano,Order of the Court (Sixth Chamber) of 27 April 2006,Sixth Chamber,  L v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-230/05 P,ECLI identifier: ECLI:EU:C:2006:270,26/05/2005,27/04/2006,,STAT
62005CO0322,Ó Caoimh,Stix-Hackl,Order of the Court (Sixth Chamber) of 9 February 2006,Sixth Chamber,  Hippocrate Vounakis v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-322/05 P,ECLI identifier: ECLI:EU:C:2006:99,23/08/2005,9/2/2006,,STAT
62013CO0362,Ó Caoimh,Kokott,Order of the Court (Third Chamber) of 17 September 2014,Third Chamber,Maurizio Fiamingo and Others v Rete Ferroviaria Italiana SpA,Requests for a preliminary ruling from the Corte suprema di cassazione,Rectification of a judgment,Joined Cases C-362/13; C-363/13 and C-407/13,ECLI identifier: ECLI:EU:C:2014:2238,28/06/2013,17/09/2014,Italy,TRAN
62011CO0111,Ó Caoimh,Sharpston,Order of the Court (Sixth Chamber) of 14 July 2011,Sixth Chamber,  Ignacio Ruipérez Aguirre and ATC Petition v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-111/11 P,ECLI identifier: ECLI:EU:C:2011:491,3/3/2011,14/07/2011,Spain,TRAN
62005CO0093,Ó Caoimh,Kokott,Order of the Court (Sixth Chamber) of 13 July 2006,Sixth Chamber,  Teemu Hakala v Oy L,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-93/05,ECLI identifier: ECLI:EU:C:2006:470,22/02/2005,13/07/2006,Finland,TRAN
62011CO0593,Arabadjiev,Trstenjak,Order of the Court (Sixth Chamber) of 13 December 2012,Sixth Chamber,Alliance One International; Inc, v European Commission,Appeal — Competition — Agreements; decisions or concerted practices — Italian market for the purchase and first processing of raw tobacco — Price-fixing and market-sharing — Attributability of unlawful conduct of subsidiaries to their parent companies — Presumption of innocence — Rights of defence — Obligation to state reasons,Case C‑593/11 P,ECLI identifier: ECLI:EU:C:2012:804,23/11/2011,13/12/2012,,AGRI
62015CO0246,Arabadjiev,Wathelet,Order of the Court (Sixth Chamber) of 14 July 2016,Sixth Chamber,Pollmeier Massivholz GmbH & Co, KG v European Commission,Appeal — Article 181 of the Rules of Procedure of the Court — State aid — State measures concerning the establishment of a sawmill in Land Hessen (Germany) — Decision finding no State aid — Formal investigation procedure not initiated — Appeal manifestly inadmissible in part and manifestly unfounded in part,Case C-246/15 P,ECLI identifier: ECLI:EU:C:2016:568,26/05/2015,14/07/2016,Germany,CONC
62014CO0530,Arabadjiev,Wathelet,Order of the Court (Second Chamber) of 22 October 2015,Second Chamber,European Commission v Hellenic Republic,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-530/14 P,ECLI identifier: ECLI:EU:C:2015:727,21/11/2014,22/10/2015,Greece,CONC
62014CO0431,Arabadjiev,Sharpston,Order of the Vice-President of the Court of 3 December 2014,,  Hellenic Republic v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-431/14 P-R,ECLI identifier: ECLI:EU:C:2014:2418,19/09/2014,3/12/2014,Greece,CONC
62013CO0242,Arabadjiev,Wathelet,Order of the Court (Second Chamber) of 23 October 2014,Second Chamber,Commerz Nederland NV v Havenbedrijf Rotterdam NV,Request for a preliminary ruling from Hoge Raad der Nederlanden,Rectification of a judgment,Case C-242/13,ECLI identifier: ECLI:EU:C:2014:2326,29/04/2013,23/10/2014,Netherlands,CONC
62013CO0027,Arabadjiev,Mengozzi,Order of the Court (Grand Chamber); 4 April 2014,Grand Chamber,Flughafen Lübeck GmbH v Air Berlin plc & Co,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑27/13,ECLI identifier: ECLI:EU:C:2014:240,21/01/2013,4/4/2014,Germany,CONC
62013CO0181,Arabadjiev,Cruz Villalón,Order of the Court (Seventh Chamber) of 27 February 2014,Seventh Chamber,  Francesco Acanfora v Equitalia Sud SpA - Agente di Riscossione Latina and Agenzia delle Entrate - Ufficio di Latina,  Reference for a preliminary ruling: Commissione tributaria provinciale di Latina - Italy,  Request for a preliminary ruling - Article 107 TFEU - ‘State aid’ - National legislation which; in the event that tax is not paid; obliges the taxable person to pay the tax collection agency an amount equal to 9% of the sums entered in the tax roll as remuneration for tax collection activities - Description of the factual context - Lack of description - Manifestly inadmissible,  Case C-181/13,ECLI identifier: ECLI:EU:C:2014:127,12/4/2013,27/02/2014,Italy,CONC
62011CO0593,Arabadjiev,Trstenjak,Order of the Court (Sixth Chamber) of 13 December 2012,Sixth Chamber,Alliance One International; Inc, v European Commission,Appeal — Competition — Agreements; decisions or concerted practices — Italian market for the purchase and first processing of raw tobacco — Price-fixing and market-sharing — Attributability of unlawful conduct of subsidiaries to their parent companies — Presumption of innocence — Rights of defence — Obligation to state reasons,Case C‑593/11 P,ECLI identifier: ECLI:EU:C:2012:804,23/11/2011,13/12/2012,,CONC
62011CO0654,Arabadjiev,Trstenjak,Order of the Court (Sixth Chamber) of 13 December 2012,Sixth Chamber,Transcatab SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C‑654/11 P,ECLI identifier: ECLI:EU:C:2012:806,16/12/2011,13/12/2012,Italy,CONC
62010CO0451(01),Arabadjiev,Mazák,Order of the Court (Sixth Chamber) of 7 June 2012,Sixth Chamber,  France Télévisions SA v Télévision française 1 SA (TF1),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-451/10 P-DEP,ECLI identifier: ECLI:EU:C:2012:323,12/12/2011,7/6/2012,France,CONC
62011CO0240,Arabadjiev,Bot,Order of the Court (Sixth Chamber) of 3 May 2012,Sixth Chamber,  World Wide Tobacco España SA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-240/11 P,ECLI identifier: ECLI:EU:C:2012:269,18/05/2011,3/5/2012,Spain,CONC
62009CO0150,Arabadjiev,Kokott,Order of the Court (Sixth Chamber) of 21 January 2010,Sixth Chamber,  Iride SpA and Iride Energia SpA v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-150/09 P,ECLI identifier: ECLI:EU:C:2010:34,22/04/2009,21/01/2010,Italy,CONC
62017CO0131,Arabadjiev,Mengozzi,Order of the Court (Sixth Chamber) of 23 November 2017,Sixth Chamber,Hélder José Cunha Martins v Fundo de Garantia Automóvel,Request for a preliminary ruling from the Tribunal da Relação do Porto,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court of Justice — Charter of Fundamental Rights of the European Union — Article 47 — Right to an effective remedy and to a fair trial — Question which does not concern a rule of EU law other than the Charter of Fundamental Rights — Lack of jurisdiction of the Court,Case C-131/17,ECLI identifier: ECLI:EU:C:2017:902,13/03/2017,23/11/2017,Portugal,DFON
62014CO0199,Arabadjiev,Bot,Order of the Court (Seventh Chamber) of 25 September 2014,Seventh Chamber,  János Kárász v Nyugdíjfolyósító Igazgatóság,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-199/14,ECLI identifier: ECLI:EU:C:2014:2243,22/04/2014,25/09/2014,Hungary,DFON
62014CO0028,Arabadjiev,Bot,Order of the Court (Seventh Chamber) of 12 June 2014,Seventh Chamber,Ryszard Pańczyk v Dyrektor Zakładu Emerytalno-Rentowego Ministerstwa Spraw Wewnętrznych i Administracji w Warszawie,Request for a preliminary ruling from the Sąd Okręgowy w Częstochowie,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court of Justice — Charter of Fundamental Rights of the European Union — Implementation of EU law — No such implementation — Clear lack of jurisdiction of the Court,Case C‑28/14,ECLI identifier: ECLI:EU:C:2014:2003,20/01/2014,12/6/2014,Poland,DFON
62012CO0471,Arabadjiev,Kokott,Order of the Court (Seventh Chamber) of 20 June 2013,Seventh Chamber,  Holding kompanija Interspeed a,d, v European Commission,  Case C-471/12 P,ECLI identifier: ECLI:EU:C:2013:418,17/09/2012,20/06/2013,,EXT
62007CO0204,Arabadjiev,Trstenjak,Order of the Court (Third Chamber) of 10 September 2009,Third Chamber,  C,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-204/07 P-DEP,ECLI identifier: ECLI:EU:C:2009:526,9/3/2009,10/9/2009,Italy,EXT
62008CO0483,Arabadjiev,Poiares Maduro,Order of the Court (Seventh Chamber) of 9 July 2009,Seventh Chamber,Régie communale autonome du stade Luc Varenne v Belgian State,Reference for a preliminary ruling: Tribunal de première instance de Mons - Belgium,First subparagraph of Article 104(3) of the Rules of Procedure - Sixth VAT Directive - Article 10(1) and (2) - Recovery of tax improperly deducted - Starting point of the limitation period,Case C-483/08,ECLI identifier: ECLI:EU:C:2009:446,10/11/2008,9/7/2009,Belgium,FISC
62007CO0456,Arabadjiev,Ruiz-Jarabo Colomer,Order of the Court (Seventh Chamber) of 21 May 2008,Seventh Chamber,  Karol Mihal v Daňový úrad Košice V,  Reference for a preliminary ruling: Najvyšší súd Slovenskej republiky - Slovakia,  Article 104(3); first subparagraph; of the Rules of Procedure - Sixth VAT Directive - Taxable persons - Article 4(5); first subparagraph - Bodies governed by public law - Bailiffs - Natural and legal persons,  Case C-456/07,ECLI identifier: ECLI:EU:C:2008:293,9/10/2007,21/05/2008,Slovakia,FISC
62016CO0464,Arabadjiev,Wahl,Order of the Court (Sixth Chamber) of 6 April 2017,Sixth Chamber,Pénzügyi Ismeretterjesztő és Érdek-képviseleti Egyesület (PITEE) v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-464/16 P,ECLI identifier: ECLI:EU:C:2017:291,15/08/2016,6/4/2017,Hungary,INST
62012CO0471,Arabadjiev,Kokott,Order of the Court (Seventh Chamber) of 20 June 2013,Seventh Chamber,  Holding kompanija Interspeed a,d, v European Commission,  Case C-471/12 P,ECLI identifier: ECLI:EU:C:2013:418,17/09/2012,20/06/2013,,INST
62013CO0600,Arabadjiev,Cruz Villalón,Order of the Court (Seventh Chamber) of 30 April 2014,Seventh Chamber,Intelcom Service Ltd v Vincenzo Mario Marvulli,Request for a preliminary ruling from the Giudice di pace di Matera,Request for a preliminary ruling — Articles 34 TFEU; 35 TFEU; 37 TFEU; 56 TFEU and 60 TFEU — Directive 2006/123/EC — National legislation granting notaries the exclusive right to draft and authenticate deeds relating to the sale of immovable property — Manifest inadmissibility,Case C‑600/13,ECLI identifier: ECLI:EU:C:2014:609,21/11/2013,30/04/2014,Italy,LCM
62007CO0204,Arabadjiev,Trstenjak,Order of the Court (Third Chamber) of 10 September 2009,Third Chamber,  C,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-204/07 P-DEP,ECLI identifier: ECLI:EU:C:2009:526,9/3/2009,10/9/2009,Italy,LCM
62016CO0035,Arabadjiev,Wathelet,Order of the Court (Sixth Chamber) of 28 April 2016,Sixth Chamber,Matratzen Concord GmbH v European Union Intellectual Property Office (EUIPO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-35/16 P,ECLI identifier: ECLI:EU:C:2016:314,21/01/2016,28/04/2016,Germany,MARC
62007CO0163,Arabadjiev,Poiares Maduro,Order of the Court (Seventh Chamber) of 27 November 2007,Seventh Chamber,  Diy-Mar Insaat Sanayi ve Ticaret Ltd Sirketi and Musa Akar v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-163/07 P,ECLI identifier: ECLI:EU:C:2007:717,23/03/2007,27/11/2007,Turkey; Provisional data,MARC
62013CO0223,Arabadjiev,Wathelet,Order of the Court (Seventh Chamber) of 6 February 2014,Seventh Chamber,  Kingdom of the Netherlands v European Commission,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-223/13,ECLI identifier: ECLI:EU:C:2014:83,25/04/2013,6/2/2014,Netherlands,PEM
62014CO0028,Arabadjiev,Bot,Order of the Court (Seventh Chamber) of 12 June 2014,Seventh Chamber,Ryszard Pańczyk v Dyrektor Zakładu Emerytalno-Rentowego Ministerstwa Spraw Wewnętrznych i Administracji w Warszawie,Request for a preliminary ruling from the Sąd Okręgowy w Częstochowie,Reference for a preliminary ruling — Article 53(2) of the Rules of Procedure of the Court of Justice — Charter of Fundamental Rights of the European Union — Implementation of EU law — No such implementation — Clear lack of jurisdiction of the Court,Case C‑28/14,ECLI identifier: ECLI:EU:C:2014:2003,20/01/2014,12/6/2014,Poland,PRIN
62013CO0520,Arabadjiev,Bot,Order of the Court (Seventh Chamber) of 27 March 2014,Seventh Chamber,  Urszula Leśniak-Jaworska and Małgorzata Głuchowska-Szmulewicz v Prokuratura Okręgowa w Płocku,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-520/13,ECLI identifier: ECLI:EU:C:2014:263,30/09/2013,27/03/2014,Poland,PRIN
62012CO0591,Arabadjiev,Mengozzi,Order of the Court (Sixth Chamber) of 21 July 2016,Sixth Chamber,Panrico; SA v Bimbo; SA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-591/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:591,12/11/2015,21/07/2016,Spain,PROC
62010CO0451(01),Arabadjiev,Mazák,Order of the Court (Sixth Chamber) of 7 June 2012,Sixth Chamber,  France Télévisions SA v Télévision française 1 SA (TF1),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-451/10 P-DEP,ECLI identifier: ECLI:EU:C:2012:323,12/12/2011,7/6/2012,France,PROC
62015CO0575,Arabadjiev,Saugmandsgaard Øe,Order of the Court (Sixth Chamber) of 26 October 2016,Sixth Chamber,Industria de Diseño Textil; SA (Inditex) v European Union Intellectual Property Office,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-575/15 P,ECLI identifier: ECLI:EU:C:2016:810,9/11/2015,26/10/2016,Spain,PROP
62012CO0591,Arabadjiev,Mengozzi,Order of the Court (Sixth Chamber) of 21 July 2016,Sixth Chamber,Panrico; SA v Bimbo; SA,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-591/12 P-DEP,ECLI identifier: ECLI:EU:C:2016:591,12/11/2015,21/07/2016,Spain,PROP
62008CO0488,Arabadjiev,Jääskinen,Order of the Court (Sixth Chamber) of 4 December 2009,Sixth Chamber,  Matthias Rath v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases C-488/08 P and C-489/08 P,ECLI identifier: ECLI:EU:C:2009:754,11/11/2008,4/12/2009,Provisional data; South Africa,PROP
62006CO0405,Arabadjiev,Sharpston,Order of the Court (Seventh Chamber) of 24 September 2007,Seventh Chamber,  Miguel Torres SA v Office for Harmonisation in the Internal Market (Trade Marks and Designs) (OHIM),Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-405/06 P,ECLI identifier: ECLI:EU:C:2007:546,28/09/2006,24/09/2007,Spain,PROP
62016CO0035,Arabadjiev,Wathelet,Order of the Court (Sixth Chamber) of 28 April 2016,Sixth Chamber,Matratzen Concord GmbH v European Union Intellectual Property Office (EUIPO),Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-35/16 P,ECLI identifier: ECLI:EU:C:2016:314,21/01/2016,28/04/2016,Germany,SERV
62013CO0600,Arabadjiev,Cruz Villalón,Order of the Court (Seventh Chamber) of 30 April 2014,Seventh Chamber,Intelcom Service Ltd v Vincenzo Mario Marvulli,Request for a preliminary ruling from the Giudice di pace di Matera,Request for a preliminary ruling — Articles 34 TFEU; 35 TFEU; 37 TFEU; 56 TFEU and 60 TFEU — Directive 2006/123/EC — National legislation granting notaries the exclusive right to draft and authenticate deeds relating to the sale of immovable property — Manifest inadmissibility,Case C‑600/13,ECLI identifier: ECLI:EU:C:2014:609,21/11/2013,30/04/2014,Italy,SERV
62017CO0315,Arabadjiev,Kokott,Ordonnance de la Cour (sixième chambre) du 22 mars 2018,sixième chambre,Pilar Centeno Meléndez contre Universidad de Zaragoza,Check EUR-LEX webpage,Check EUR-LEX webpage,Affaire C-315/17,ECLI identifier: ECLI:EU:C:2018:207,29/05/2017,22/03/2018,Spain,SOPO
62016CO0653,Arabadjiev,Wathelet,Order of the Court (Sixth Chamber) of 4 May 2017,Sixth Chamber,Jitka Svobodová v Česká republika - Okresní soud v Náchodě,Request for a preliminary ruling from the Nejvyšší soud České republiky,Reference for a preliminary ruling — Factual and regulatory background to the dispute in the main proceedings — Absence of sufficient information — Manifest inadmissibility — Article 53(2) and Article 94 of the Rules of Procedure of the Court,Case C-653/16,ECLI identifier: ECLI:EU:C:2017:371,19/12/2016,4/5/2017,Czech Republic,SOPO
62014CO0199,Arabadjiev,Bot,Order of the Court (Seventh Chamber) of 25 September 2014,Seventh Chamber,  János Kárász v Nyugdíjfolyósító Igazgatóság,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-199/14,ECLI identifier: ECLI:EU:C:2014:2243,22/04/2014,25/09/2014,Hungary,SOPO
62013CO0520,Arabadjiev,Bot,Order of the Court (Seventh Chamber) of 27 March 2014,Seventh Chamber,  Urszula Leśniak-Jaworska and Małgorzata Głuchowska-Szmulewicz v Prokuratura Okręgowa w Płocku,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case C-520/13,ECLI identifier: ECLI:EU:C:2014:263,30/09/2013,27/03/2014,Poland,SOPO
62006CO0363,Arestis,Poiares Maduro,Order of the Court (Eighth Chamber) of 20 February 2008,Eighth Chamber,Comunidad Autónoma de Valencia - Generalidad Valenciana v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,Case C-363/06 P,ECLI identifier: ECLI:EU:C:2008:99,6/9/2006,20/02/2008,Spain,COES
